Quantità,Modello,Nome del Tipo,ID,Stato
1,Prova_ADB_028_PD_ARC_M3_000_R02,Facciata continua:AR_SFC_MON_Non5370x18670_P004,1466128,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,1481603,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,1881999,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,1882037,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,1882067,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,1882980,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,1883032,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,1883057,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,2108203,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,2108653,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,,2109640,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_PAF_TEL_Vet_DoppioTelaio:AR_PAF_TEL_Vet_DoppioTelaio_80,1477937,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_PAF_TEL_Met_Griglia:AR_PAF_TEL_Met_Griglia_50,1477939,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pavimento:AR_PAV_PRE_Gen300_300mm,981000,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pavimento:AR_PAV_PRE_Gen300_300mm,1877456,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pavimento:AR_PAV_PRE_Gen300_300mm,1877560,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Pavimento:AR_PAV_PRE_Gen300_300mm,1989684,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen200_200mm,418917,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen320_320mm,976763,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen200_200mm,977170,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen130_130mm,1871405,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen130_130mm,1872913,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen170_170mm,2433841,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen65_65mm,3073336,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen110_110mm,3073903,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen200_200mm,3116707,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,Muro di base:AR_MUR_DIV_Gen200_200mm,3116815,1
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1882286,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1882893,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1882894,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1882982,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1883034,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,1883059,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_PomelloDoppioPorta:ARC_GEN_MGE_Gen_PomelloDoppioPorta,2107936,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,2108252,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,2108253,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,2108654,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,ARC_GEN_MGE_Gen_ManigliaChiavePorta:ARC_GEN_MGE_Gen_ManigliaChiavePorta,2108655,0
2,Prova_ADB_028_PD_ARC_M3_000_R02,,2107799,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478252,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478253,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478254,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478255,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478256,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478257,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478258,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478259,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478260,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478261,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478262,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478263,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478264,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478265,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478266,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478267,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478268,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478269,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478270,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478271,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478272,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478273,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478274,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478275,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478277,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478278,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478279,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478280,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478281,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478282,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478283,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478284,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478285,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478286,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478287,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1478288,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479035,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479036,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479037,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479038,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479040,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479041,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479043,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479044,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479046,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479047,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479049,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479050,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479052,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479053,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479055,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479056,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479058,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479059,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479061,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479062,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479064,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479065,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479068,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479069,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479070,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479071,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479072,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479073,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479074,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479075,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479076,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479077,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479078,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479079,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479364,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479365,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479366,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479367,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479368,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479369,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479370,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479371,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479372,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479373,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479374,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479375,0
1,Prova_ADB_028_PD_ARC_M3_000_R02,Montante rettangolare:ARC_MON_RET_Acc_M012_50x50,1479376,0
